/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
    1     416   23.9168   23.2323   2.2817   21.5012
    1     417   22.0335   21.1761   2.8580   21.5012
    1     418   23.0688   22.1316   3.1243   21.5012
    1     419   22.5318   21.7435   2.6276   21.5012
    1     420   26.0124   25.0771   3.1176   21.5012
    1     421   22.3718   21.5493   2.7414   21.5012
    1     422   23.7209   22.9253   2.6521   21.5012
    1     423   21.6284   20.7141   3.0479   21.5012
    1     424   28.3792   27.5564   2.7428   21.5012
    1     425   21.7149   20.8077   3.0241   21.5012
    1     426   26.0206   25.0859   3.1156   21.5012
    1     427   22.0442   21.1874   2.8562   21.5012
    1     428   21.7000   20.7968   3.0105   21.5012
    1     429   22.1318   21.2864   2.8179   21.5012
    1     430   23.4388   22.5823   2.8550   21.5012
    1     431   27.2606   26.5044   2.5207   21.5012
    1     432   21.7176   20.8099   3.0257   21.5012
    1     433   21.8142   20.9178   2.9882   21.5012
    1     434   22.2109   21.3758   2.7839   21.5012
    1     435   21.7854   20.8892   2.9873   21.5012
    1     436   22.4648   21.6559   2.6964   21.5012
    1     437   22.8330   21.8806   3.1745   21.5012
    1     438   21.5785   20.6576   3.0697   21.5012
    1     439   21.9944   21.1285   2.8862   21.5012
    1     440   24.3699   23.6591   2.3694   21.5012
    1     441   21.7892   20.8949   2.9809   21.5012
    1     442   21.7336   20.8340   2.9986   21.5012
    1     443   23.0225   22.2732   2.4977   21.5012
    1     444   21.6395   20.7256   3.0464   21.5012
    1     445   22.0169   21.1682   2.8289   21.5012
